Region,Quarter,Amount,Units
North,Q1,1589.81,71
North,Q2,2602.11,231
North,Q3,3104.53,214
North,Q4,2983.48,229
North,Q1,1040.33,67
North,Q2,1395.49,88
North,Q3,1548.48,23
North,Q4,3697.32,190
North,Q1,1165.94,41
North,Q2,3231.54,151
North,Q3,1970.5,58
North,Q4,893.32,157
North,Q1,1805.25,87
North,Q2,1037.94,178
North,Q3,1227.6,165
North,Q4,1868.97,177
South,Q1,2175.81,18
South,Q2,969.34,33
South,Q3,3483.74,56
South,Q4,3538.39,16
South,Q1,669.77,94
South,Q2,2631.16,118
South,Q3,1051.33,197
South,Q4,3216.42,191
South,Q1,1572.08,106
South,Q2,1545.54,101
South,Q3,1597.82,142
South,Q4,679.33,222
East,Q1,643.18,32
East,Q2,2810.21,70
East,Q3,2952.56,204
East,Q4,3280.52,207
East,Q1,3206.03,228
East,Q2,2338.53,133
East,Q3,1712.57,180
East,Q4,2104.94,87
East,Q1,2980.79,27
East,Q2,1434.26,88
East,Q3,715.06,111
East,Q4,3775.99,161
East,Q1,3327.56,211
East,Q2,1138.16,139
East,Q3,3018.65,203
East,Q4,462.96,72
West,Q1,1929.21,43
West,Q2,3028.54,9
West,Q3,3584.01,160
West,Q4,1180.51,210
West,Q1,1475.34,191
West,Q2,1174.21,72
West,Q3,2043.54,141
West,Q4,2757.9,18
West,Q1,3518.7,224
West,Q2,735.75,166
West,Q3,648.95,161
West,Q4,985.18,124
