Region,Quarter,Amount
North,Q1,1589.81
North,Q2,2602.11
North,Q3,3104.53
North,Q4,2983.48
North,Q1,1040.33
North,Q2,1395.49
North,Q3,1548.48
North,Q4,3697.32
North,Q1,1165.94
North,Q2,3231.54
North,Q3,1970.5
North,Q4,893.32
North,Q1,1805.25
North,Q2,1037.94
North,Q3,1227.6
North,Q4,1868.97
South,Q1,2175.81
South,Q2,969.34
South,Q3,3483.74
South,Q4,3538.39
South,Q1,669.77
South,Q2,2631.16
South,Q3,1051.33
South,Q4,3216.42
South,Q1,1572.08
South,Q2,1545.54
South,Q3,1597.82
South,Q4,679.33
East,Q1,643.18
East,Q2,2810.21
East,Q3,2952.56
East,Q4,3280.52
East,Q1,3206.03
East,Q2,2338.53
East,Q3,1712.57
East,Q4,2104.94
East,Q1,2980.79
East,Q2,1434.26
East,Q3,715.06
East,Q4,3775.99
East,Q1,3327.56
East,Q2,1138.16
East,Q3,3018.65
East,Q4,462.96
West,Q1,1929.21
West,Q2,3028.54
West,Q3,3584.01
West,Q4,1180.51
West,Q1,1475.34
West,Q2,1174.21
West,Q3,2043.54
West,Q4,2757.9
West,Q1,3518.7
West,Q2,735.75
West,Q3,648.95
West,Q4,985.18
